dist An0dreX = 0.000000, tpl = 622.133423, td = 126.491104
dist Koyot = 30.886890, tpl = 399.462128, td = 201.022385
dist Cul-de-jatte = 32.202484, tpl = 279.732025, td = 19.416489
dist Xandra = 25.455845, tpl = 370.746552, td = 30.870699
dist HARIBO = 37.121422, tpl = 82.024384, td = 44.384682
dist HARIBO = 37.121422, tpl = 124.277916, td = 245.546326
dist HARIBO = 37.121422, tpl = 124.342270, td = 34.928497
dist Cul-de-jatte = 0.000000, tpl = 279.614014, td = 12.041595
dist An0dreX = 32.449963, tpl = 419.344727, td = 50.596443
dist An0dreX = 32.449963, tpl = 564.150696, td = 8.000000
dist An0dreX = 32.449963, tpl = 374.909332, td = 48.000000
dist Cul-de-jatte = 29.832869, tpl = 279.646210, td = 23.537205
dist An0dreX = 16.763054, tpl = 363.049591, td = 139.713989
dist I am noby = 22.360680, tpl = 633.165039, td = 435.837128
dist An0dreX = 34.014702, tpl = 632.408081, td = 304.006592
dist Xandra = 11.000000, tpl = 399.215485, td = 85.510231
dist Redx73 = 29.732138, tpl = 49.254440, td = 49.254440
dist Inļ🂱kech = 28.284271, tpl = 399.912476, td = 513.039978
dist Xandra = 20.000000, tpl = 399.696136, td = 26.019224
dist Sasuke = 31.622776, tpl = 398.830780, td = 183.393021
dist Inļ🂱kech = 28.284271, tpl = 399.831207, td = 264.886780
dist Cul-de-jatte = 18.973665, tpl = 279.460205, td = 69.354164
dist Koyot = 0.000000, tpl = 398.888458, td = 585.108521
dist :Ram = 23.259407, tpl = 399.249298, td = 521.161194
dist I am noby = 36.359318, tpl = 474.510284, td = 3.000000
dist Xandra = 17.029387, tpl = 399.656097, td = 67.029846
dist Redx73 = 0.000000, tpl = 49.477268, td = 49.477268
dist Redx73 = 0.000000, tpl = 49.396355, td = 49.396355
dist HARIBO = 37.161808, tpl = 498.992981, td = 22.203604
dist Xandra = 3.162278, tpl = 399.405823, td = 123.600159
dist HARIBO = 37.161808, tpl = 89.493019, td = 112.160599
dist I am noby = 36.674240, tpl = 632.678406, td = 183.095596
dist Inļ🂱kech = 0.000000, tpl = 399.020050, td = 213.178329
dist Redx73 = 35.777088, tpl = 49.244289, td = 49.244289
dist I am noby = 36.674240, tpl = 633.000000, td = 645.329346
dist HARIBO = 32.015621, tpl = 499.249451, td = 38.209946
dist I am noby = 31.827662, tpl = 450.161072, td = 430.947784
dist Inļ🂱kech = 0.000000, tpl = 399.164124, td = 525.095215
dist Redx73 = 30.000000, tpl = 49.678970, td = 49.678970
dist HARIBO = 32.015621, tpl = 124.342270, td = 4.472136
dist :Ram = 35.846897, tpl = 399.502197, td = 292.249878
dist jo_ = 37.336308, tpl = 399.058899, td = 326.271362
dist HARIBO = 13.038404, tpl = 124.040314, td = 107.354553
dist HARIBO = 13.038404, tpl = 123.745705, td = 180.069427
dist HARIBO = 7.211102, tpl = 124.535133, td = 13.601471
dist Koyot = 24.207438, tpl = 399.442108, td = 597.267944
dist Sasuke = 35.510563, tpl = 399.505951, td = 140.000000
dist :Ram = 0.000000, tpl = 399.325684, td = 307.774261
dist An0dreX = 0.000000, tpl = 411.807007, td = 22.627417
dist Koyot = 24.207438, tpl = 399.742432, td = 374.897308
dist jo_ = 22.135944, tpl = 307.546753, td = 515.248474
dist Cul-de-jatte = 0.000000, tpl = 279.372498, td = 45.803928
dist Flam = 11.704700, tpl = 399.821198, td = 720.200684
dist I am noby = 0.000000, tpl = 630.974670, td = 118.848640
dist noby = 0.000000, tpl = 633.025269, td = 39.824615
dist :Ram = 0.000000, tpl = 604.884277, td = 187.771133
dist An0dreX = 0.000000, tpl = 608.685486, td = 684.450867
dist HARIBO = 15.231546, tpl = 123.975807, td = 54.781384
dist I am noby = 24.186773, tpl = 632.811218, td = 220.984161
dist HARIBO = 15.231546, tpl = 124.779808, td = 8.602325
dist HARIBO = 5.385165, tpl = 499.484741, td = 4.000000
dist jo_ = 22.022715, tpl = 398.968658, td = 243.016464
dist HARIBO = 5.385165, tpl = 24.839485, td = 142.014084
dist An0dreX = 22.203604, tpl = 632.560669, td = 147.827606
dist :Ram = 28.160255, tpl = 399.275604, td = 502.412170
dist An0dreX = 24.698177, tpl = 632.825439, td = 14.560220
dist Flam = 12.529964, tpl = 399.145325, td = 199.361481
dist noby = 0.000000, tpl = 546.502502, td = 18.973665
dist Koyot = 0.000000, tpl = 399.535980, td = 788.458008
dist noby = 28.653097, tpl = 180.941986, td = 32.310989
dist Sasuke = 31.304953, tpl = 399.699890, td = 256.113251
dist noby = 24.351591, tpl = 152.738342, td = 30.000000
dist noby = 30.805843, tpl = 235.304062, td = 70.035706
dist An0dreX = 23.021729, tpl = 370.552277, td = 56.568542
dist I am noby = 36.013885, tpl = 496.037292, td = 240.410065
dist Flam = 12.529964, tpl = 399.906250, td = 111.825760
dist Redx73 = 0.000000, tpl = 49.406479, td = 49.406479
dist jo_ = 0.000000, tpl = 399.472137, td = 360.322083
dist Redx73 = 36.124783, tpl = 49.678970, td = 49.678970
dist :Ram = 0.000000, tpl = 399.941254, td = 359.435669
dist Redx73 = 36.124783, tpl = 49.648766, td = 49.648766
dist Redx73 = 36.124783, tpl = 49.648766, td = 49.648766
dist An0dreX = 34.205261, tpl = 257.029175, td = 32.984844
dist jo_ = 37.643059, tpl = 399.011292, td = 463.405884
dist noby = 0.000000, tpl = 631.810913, td = 3.000000
dist Koyot = 0.000000, tpl = 399.831207, td = 88.600227
dist jo_ = 34.481880, tpl = 355.123932, td = 268.560974
dist HARIBO = 0.000000, tpl = 497.121704, td = 61.073727
dist Inļ🂱kech = 36.124783, tpl = 399.061401, td = 607.791077
dist .LeitWolf' = 0.000000, tpl = 128.222458, td = 165.215012
dist HARIBO = 15.620500, tpl = 124.779808, td = 15.524175
